,Amazon,,,,,,Apple,,,,,,Bank of America,,,,,,Citi,,,,,,Disney,,,,,,General Motors,,,,,,Google,,,,,,IBM,,,,,,JC Penny,,,,,,JP Morgan,,,,,
,Amazon.open,Amazon.high,Amazon.low,Amazon.close,Amazon.adjclose,Amazon.volume,Apple.open,Apple.high,Apple.low,Apple.close,Apple.adjclose,Apple.volume,Bank.of.America.open,Bank.of.America.high,Bank.of.America.low,Bank.of.America.close,Bank.of.America.adjclose,Bank.of.America.volume,Citi.open,Citi.high,Citi.low,Citi.close,Citi.adjclose,Citi.volume,Disney.open,Disney.high,Disney.low,Disney.close,Disney.adjclose,Disney.volume,General.Motors.open,General.Motors.high,General.Motors.low,General.Motors.close,General.Motors.adjclose,General.Motors.volume,Google.open,Google.high,Google.low,Google.close,Google.adjclose,Google.volume,IBM.open,IBM.high,IBM.low,IBM.close,IBM.adjclose,IBM.volume,JC.Penny.open,JC.Penny.high,JC.Penny.low,JC.Penny.close,JC.Penny.adjclose,JC.Penny.volume,JP.Morgan.open,JP.Morgan.high,JP.Morgan.low,JP.Morgan.close,JP.Morgan.adjclose,JP.Morgan.volume
open,1,0.999931063,0.999901319,0.999840713,0.999840713,0.079867286,1,0.999896856,0.999863778,0.999760405,0.998626298,-0.675040339,1,0.999491378,0.999450216,0.999075073,0.987908121,-0.529757504,1,0.999806257,0.999775842,0.9996828,0.99962791,-0.370559913,1,0.999884319,0.999866292,0.999754029,0.99888069,-0.346565265,1,0.998475905,0.998174922,0.996566981,0.940462022,0.092505852,1,0.999879298,0.999828306,0.999708729,0.999708729,-0.57934743,1,0.999493527,0.999476444,0.99893914,0.928477115,-0.492821835,1,0.999668982,0.999709695,0.999391027,0.997353508,-0.383126633,1,0.99965915,0.99961078,0.999302214,0.996655825,-0.530874196
high,0.999931063,1,0.999871652,0.999922703,0.999922703,0.083405838,0.999896856,1,0.999836248,0.99988409,0.998793376,-0.673355078,0.999491378,1,0.998996391,0.999469846,0.988097945,-0.523523064,0.999806257,1,0.999588297,0.9997814,0.999725851,-0.369582465,0.999884319,1,0.999833035,0.999881885,0.999063197,-0.342014656,0.998475905,1,0.997994559,0.998441071,0.942697515,0.101828879,0.999879298,1,0.999804439,0.999853262,0.999853262,-0.577014598,0.999493527,1,0.999327319,0.999495533,0.927664641,-0.483544083,0.999668982,1,0.999573424,0.999730452,0.997759447,-0.38108997,0.99965915,1,0.999412967,0.999649097,0.997115549,-0.521960603
low,0.999901319,0.999871652,1,0.999914658,0.999914658,0.077366929,0.999863778,0.999836248,1,0.999889461,0.998763381,-0.677956799,0.999450216,0.998996391,1,0.999485582,0.988892024,-0.53723233,0.999775842,0.999588297,1,0.999816946,0.999769896,-0.372258514,0.999866292,0.999833035,1,0.999886346,0.998948471,-0.351777559,0.998174922,0.997994559,1,0.998433467,0.94209137,0.077367997,0.999828306,0.999804439,1,0.999881824,0.999881824,-0.582889771,0.999476444,0.999327319,1,0.999489602,0.929389782,-0.501717442,0.999709695,0.999573424,1,0.999693395,0.997720109,-0.385160279,0.99961078,0.999412967,1,0.999625517,0.996805545,-0.540257344
close,0.999840713,0.999922703,0.999914658,1,1,0.081285941,0.999760405,0.99988409,0.999889461,1,0.998894584,-0.675743518,0.999075073,0.999469846,0.999485582,1,0.989088479,-0.53042089,0.9996828,0.9997814,0.999816946,1,0.999950547,-0.371017991,0.999754029,0.999881885,0.999886346,1,0.999112192,-0.34685462,0.996566981,0.998441071,0.998433467,1,0.943683279,0.088216757,0.999708729,0.999853262,0.999881824,1,1,-0.580151298,0.99893914,0.999495533,0.999489602,1,0.928619194,-0.492676205,0.999391027,0.999730452,0.999693395,1,0.998061548,-0.383428248,0.999302214,0.999649097,0.999625517,1,0.997251747,-0.53094444
adjclose,0.999840713,0.999922703,0.999914658,1,1,0.081285941,0.998626298,0.998793376,0.998763381,0.998894584,1,-0.66587999,0.987908121,0.988097945,0.988892024,0.989088479,1,-0.555311834,0.99962791,0.999725851,0.999769896,0.999950547,1,-0.374158114,0.99888069,0.999063197,0.998948471,0.999112192,1,-0.337134813,0.940462022,0.942697515,0.94209137,0.943683279,1,0.013018357,0.999708729,0.999853262,0.999881824,1,1,-0.580151298,0.928477115,0.927664641,0.929389782,0.928619194,1,-0.558049129,0.997353508,0.997759447,0.997720109,0.998061548,1,-0.388530332,0.996655825,0.997115549,0.996805545,0.997251747,1,-0.507870882
volume,0.079867286,0.083405838,0.077366929,0.081285941,0.081285941,1,-0.675040339,-0.673355078,-0.677956799,-0.675743518,-0.66587999,1,-0.529757504,-0.523523064,-0.53723233,-0.53042089,-0.555311834,1,-0.370559913,-0.369582465,-0.372258514,-0.371017991,-0.374158114,1,-0.346565265,-0.342014656,-0.351777559,-0.34685462,-0.337134813,1,0.092505852,0.101828879,0.077367997,0.088216757,0.013018357,1,-0.57934743,-0.577014598,-0.582889771,-0.580151298,-0.580151298,1,-0.492821835,-0.483544083,-0.501717442,-0.492676205,-0.558049129,1,-0.383126633,-0.38108997,-0.385160279,-0.383428248,-0.388530332,1,-0.530874196,-0.521960603,-0.540257344,-0.53094444,-0.507870882,1
