"","year","mean_price","sd_price","row_count","pop_mean","upper_bound","lower_bound"
"1","2000",279.208269230769,9.69991078276724,260,641.957415619123,280.387310907494,278.029227554045
"2","2001",271.370461538462,8.48062050268045,260,641.957415619123,272.401296279221,270.339626797702
"3","2002",310.700307692308,14.605932466824,260,641.957415619123,312.475685166542,308.924930218073
"4","2003",364.215692307692,22.4793376404729,260,641.957415619123,366.948096402621,361.483288212764
"5","2004",409.897088122605,18.5105384939097,261,641.957415619123,412.142763051281,407.65141319393
"6","2005",445.391846153846,27.5223872871516,260,641.957415619123,448.737242042657,442.046450265035
"7","2006",605.034980694981,39.1066517704268,259,641.957415619123,609.797632626223,600.272328763738
"8","2007",697.399961538462,59.2030646022626,260,641.957415619123,704.596200980156,690.203722096767
"9","2008",872.205458015267,66.5512092717822,262,641.957415619123,880.26394291792,864.146973112615
"10","2009",974.066475095785,86.0628132452171,261,641.957415619123,984.507505866428,963.625444325143
"11","2010",1227.30842911877,99.1901530289547,261,641.957415619123,1239.34205201429,1215.27480622326
"12","2011",1572.72180769231,148.517109847886,260,641.957415619123,1590.77433066277,1554.66928472185
"13","2012",1668.74701149425,63.2418527275972,261,641.957415619123,1676.4194324322,1661.0745905563
"14","2013",1410.07419230769,148.047417322265,260,641.957415619123,1428.06962330325,1392.07876131213
"15","2014",1266.23592307692,50.6766346546102,260,641.957415619123,1272.39575955708,1260.07608659677
"16","2015",1159.93513409962,57.5602487539497,261,641.957415619123,1166.91827008767,1152.95199811156
"17","2016",1248.36482758621,73.7186844105357,261,641.957415619123,1257.3082843857,1239.42137078671
"18","2017",1258.41823076923,34.68751142119,260,641.957415619123,1262.63456043899,1254.20190109947
"19","2018",1268.54320158103,55.7306967616107,253,641.957415619123,1275.41044280781,1261.67596035425
